1024,0.000035,0.000017
2048,0.000089,0.000031
4096,0.000178,0.000066
8192,0.000370,0.000139
16384,0.000892,0.000243
32768,0.001589,0.000521
65536,0.003395,0.001101
131072,0.007099,0.002800
262144,0.014272,0.004586
524288,0.032647,0.010633
1048576,0.064418,0.020927
